% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 17.72 ms, time offset 117.5 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 16:59:00 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-6.565232000000e-03, -5.679043e-01, 2.415264e-03, -6.076963e+01
-6.547856000000e-03, -4.250122e-01, 2.432640e-03, -6.442210e+01
-6.530480000000e-03, -2.320469e-01, 2.450016e-03, -6.802661e+01
-6.513104000000e-03, -5.007328e-02, 2.467392e-03, -7.039627e+01
-6.495728000000e-03, 1.624328e-01, 2.484768e-03, -7.277438e+01
-6.478352000000e-03, 3.419639e-01, 2.502144e-03, -7.786574e+01
-6.460976000000e-03, 5.019541e-01, 2.519520e-03, -7.331603e+01
-6.443600000000e-03, 6.802638e-01, 2.536896e-03, -6.557541e+01
-6.426224000000e-03, 7.706400e-01, 2.554272e-03, -6.170145e+01
-6.408848000000e-03, 8.390328e-01, 2.571648e-03, -6.107371e+01
-6.391472000000e-03, 8.463606e-01, 2.589024e-03, -6.361571e+01
-6.374096000000e-03, 8.854422e-01, 2.606400e-03, -6.716640e+01
-6.356720000000e-03, 8.402541e-01, 2.623776e-03, -6.623125e+01
-6.339344000000e-03, 7.914021e-01, 2.641152e-03, -6.633266e+01
-6.321968000000e-03, 6.753786e-01, 2.658528e-03, -6.904000e+01
-6.304592000000e-03, 5.105032e-01, 2.675904e-03, -7.103510e+01
-6.287216000000e-03, 3.468491e-01, 2.693280e-03, -7.076782e+01
-6.269840000000e-03, 1.477772e-01, 2.710656e-03, -5.766514e+01
-6.252464000000e-03, -3.786029e-02, 2.728032e-03, -4.997838e+01
-6.235088000000e-03, -2.528090e-01, 2.745408e-03, -4.626553e+01
-6.217712000000e-03, -4.042501e-01, 2.762784e-03, -4.557004e+01
-6.200336000000e-03, -5.617978e-01, 2.780160e-03, -4.760604e+01
-6.182960000000e-03, -6.863703e-01, 2.797536e-03, -5.206305e+01
-6.165584000000e-03, -7.767465e-01, 2.814912e-03, -5.663884e+01
-6.148208000000e-03, -8.475819e-01, 2.832288e-03, -5.765440e+01
-6.130832000000e-03, -8.353689e-01, 2.849664e-03, -5.751326e+01
-6.113456000000e-03, -8.304837e-01, 2.867040e-03, -5.909780e+01
-6.096080000000e-03, -7.535418e-01, 2.884416e-03, -6.463540e+01
-6.078704000000e-03, -6.924768e-01, 2.901792e-03, -9.131104e+01
-6.061328000000e-03, -5.398144e-01, 2.919168e-03, -6.814182e+01
-6.043952000000e-03, -3.786029e-01, 2.936544e-03, -6.547325e+01
-6.026576000000e-03, -1.905227e-01, 2.953920e-03, -6.793346e+01
-6.009200000000e-03, 0.000000e+00, 2.971296e-03, -7.636452e+01
-5.991824000000e-03, 1.978505e-01, 2.988672e-03, -7.630303e+01
-5.974448000000e-03, 3.957010e-01, 3.006048e-03, -6.256534e+01
-5.957072000000e-03, 5.373718e-01, 3.023424e-03, -5.478389e+01
-5.939696000000e-03, 6.973620e-01, 3.040800e-03, -5.127096e+01
-5.922320000000e-03, 7.755252e-01, 3.058176e-03, -5.100610e+01
-5.904944000000e-03, 8.341476e-01, 3.075552e-03, -5.394681e+01
-5.887568000000e-03, 8.634588e-01, 3.092928e-03, -6.136372e+01
