% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 2.000 Vpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 141.2538 kHz to 141.2538 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-03-20 T 15:41:28 +1100
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg)
4.10957002e+02, 9.9673e+00, -4.9594e+00
4.05439020e+02, 9.9631e+00, -4.9637e+00
3.99995128e+02, 9.9673e+00, -4.8608e+00
3.94624332e+02, 9.9701e+00, -4.8126e+00
3.89325651e+02, 9.9711e+00, -4.7090e+00
3.84098115e+02, 9.9677e+00, -4.6752e+00
3.78940771e+02, 9.9716e+00, -4.6258e+00
3.73852675e+02, 9.9737e+00, -4.5834e+00
3.68832898e+02, 9.9644e+00, -4.5040e+00
3.63880522e+02, 9.9724e+00, -4.4453e+00
3.58994643e+02, 9.9726e+00, -4.3616e+00
3.54174367e+02, 9.9760e+00, -4.3247e+00
3.49418813e+02, 9.9746e+00, -4.2770e+00
3.44727113e+02, 9.9793e+00, -4.1876e+00
3.40098410e+02, 9.9752e+00, -4.1869e+00
3.35531856e+02, 9.9692e+00, -4.1154e+00
3.31026618e+02, 9.9838e+00, -3.9942e+00
3.26581873e+02, 9.9811e+00, -3.9868e+00
3.22196808e+02, 9.9797e+00, -3.9335e+00
3.17870623e+02, 9.9744e+00, -3.9013e+00
3.13602525e+02, 9.9829e+00, -3.8399e+00
3.09391736e+02, 9.9791e+00, -3.7858e+00
3.05237486e+02, 9.9849e+00, -3.7377e+00
3.01139015e+02, 9.9812e+00, -3.6854e+00
2.97095575e+02, 9.9836e+00, -3.6366e+00
2.93106428e+02, 9.9829e+00, -3.6160e+00
2.89170843e+02, 9.9878e+00, -3.5620e+00
2.85288101e+02, 9.9872e+00, -3.5076e+00
2.81457494e+02, 9.9827e+00, -3.4328e+00
2.77678321e+02, 9.9876e+00, -3.3848e+00
2.73949892e+02, 9.9869e+00, -3.3462e+00
2.70271525e+02, 9.9859e+00, -3.2968e+00
2.66642548e+02, 9.9903e+00, -3.2331e+00
2.63062297e+02, 9.9913e+00, -3.1986e+00
2.59530120e+02, 9.9876e+00, -3.1777e+00
2.56045369e+02, 9.9921e+00, -3.0979e+00
2.52607409e+02, 9.9892e+00, -3.0771e+00
2.49215610e+02, 9.9869e+00, -3.0784e+00
2.45869354e+02, 9.9879e+00, -3.0049e+00
2.42568028e+02, 9.9856e+00, -2.9952e+00
2.39311030e+02, 9.9873e+00, -2.9521e+00
2.36097765e+02, 9.9960e+00, -2.8770e+00
2.32927644e+02, 9.9974e+00, -2.8491e+00
2.29800089e+02, 9.9929e+00, -2.8378e+00
2.26714528e+02, 9.9948e+00, -2.7915e+00
2.23670397e+02, 9.9907e+00, -2.7361e+00
2.20667140e+02, 9.9888e+00, -2.6939e+00
2.17704209e+02, 9.9930e+00, -2.6484e+00
2.14781061e+02, 9.9947e+00, -2.6664e+00
2.11897163e+02, 9.9965e+00, -2.6201e+00
2.09051987e+02, 9.9923e+00, -2.5668e+00
2.06245014e+02, 9.9999e+00, -2.5512e+00
2.03475730e+02, 9.9927e+00, -2.5036e+00
