% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 10.88 ms, time offset -555.9 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 17:01:03 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-2.994432000000e-03, 1.489985e-01, 1.892352e-03, -6.567226e+01
-2.983680000000e-03, 2.454812e-01, 1.903104e-03, -6.189329e+01
-2.972928000000e-03, 3.431852e-01, 1.913856e-03, -5.953177e+01
-2.962176000000e-03, 4.824133e-01, 1.924608e-03, -5.863137e+01
-2.951424000000e-03, 5.959942e-01, 1.935360e-03, -6.020555e+01
-2.940672000000e-03, 6.375183e-01, 1.946112e-03, -6.643598e+01
-2.929920000000e-03, 7.144602e-01, 1.956864e-03, -7.426620e+01
-2.919168000000e-03, 7.975086e-01, 1.967616e-03, -5.538037e+01
-2.908416000000e-03, 8.500245e-01, 1.978368e-03, -4.432297e+01
-2.897664000000e-03, 8.524671e-01, 1.989120e-03, -3.849181e+01
-2.886912000000e-03, 8.781144e-01, 1.999872e-03, -3.594494e+01
-2.876160000000e-03, 8.903274e-01, 2.010624e-03, -3.615603e+01
-2.865408000000e-03, 8.463606e-01, 2.021376e-03, -3.919176e+01
-2.854656000000e-03, 8.341476e-01, 2.032128e-03, -4.585993e+01
-2.843904000000e-03, 8.292624e-01, 2.042880e-03, -6.002074e+01
-2.833152000000e-03, 7.804104e-01, 2.053632e-03, -6.425261e+01
-2.822400000000e-03, 6.692721e-01, 2.064384e-03, -6.612005e+01
-2.811648000000e-03, 5.996581e-01, 2.075136e-03, -6.915257e+01
-2.800896000000e-03, 5.434783e-01, 2.085888e-03, -6.907486e+01
-2.790144000000e-03, 4.103566e-01, 2.096640e-03, -6.947771e+01
-2.779392000000e-03, 2.833415e-01, 2.107392e-03, -6.923981e+01
-2.768640000000e-03, 1.831949e-01, 2.118144e-03, -6.856413e+01
